NE0810 台灣實質GDP年增率 2011=100-季(%) -- 198701-999999,,
,,
年月,數值,預估(F)
2017/12,2,F
2017/09,1.62,F
2017/06,1.8,F
2017/03,2.04,F
2016/12,2.38,F
2016/09,2.06,P
2016/06,0.7,P
2016/03,-0.29,R
2015/12,-0.89,R
2015/09,-0.8,R
2015/06,0.57,R
2015/03,4.04,R
2014/12,3.63,R
2014/09,4.26,R
2014/06,4.15,R
2014/03,3.66,R
2013/12,3.31,R
2013/09,1.47,R
2013/06,2.51,R
2013/03,1.46,R
2012/12,4.63,P
2012/09,2.31,P
2012/06,0.42,P
2012/03,0.78,P
2011/12,0.68,P
2011/09,3.32,P
2011/06,4.28,P
2011/03,7.37,P
2010/12,6.52,P
2010/09,11.69,P
2010/06,12.4,P
2010/03,12.46,P
2009/12,9.04,P
2009/09,-1.24,P
2009/06,-6.07,P
2009/03,-7.88,P
2008/12,-7.65,P
2008/09,-1.32,P
2008/06,5.48,P
2008/03,7.72,P
2007/12,6.82,P
2007/09,7.65,P
2007/06,6.25,P
2007/03,5.19,P
2006/12,3.86,P
2006/09,6.68,P
2006/06,6.05,P
2006/03,6.08,P
2005/12,7.58,P
2005/09,5.48,P
2005/06,4.87,P
2005/03,3.46,P
2004/12,3.45,P
2004/09,6.59,P
2004/06,9.99,P
2004/03,6.47,P
2003/12,6.91,P
2003/09,5.21,P
2003/06,-0.7,P
2003/03,4.89,P
2002/12,6.3,P
2002/09,7.01,P
2002/06,6.88,P
2002/03,1.96,P
2001/12,-0.24,P
2001/09,-3.83,P
2001/06,-2.39,P
2001/03,1.59,P
2000/12,6.05,P
2000/09,7.35,P
2000/06,6.22,P
2000/03,6.04,P
1999/12,7.45,P
1999/09,5.86,P
1999/06,7.25,P
1999/03,6.28,P
1998/12,3.11,P
1998/09,4.7,P
1998/06,4.28,P
1998/03,4.85,P
1997/12,6.89,P
1997/09,6.25,P
1997/06,5.58,P
1997/03,5.66,P
1996/12,6.94,P
1996/09,6.17,P
1996/06,5.8,P
1996/03,5.74,P
1995/12,5.16,P
1995/09,6.98,P
1995/06,6.45,P
1995/03,7.55,P
1994/12,9.17,P
1994/09,6.97,P
1994/06,7.72,P
1994/03,5.98,P
1993/12,6.82,P
1993/09,6.59,P
1993/06,7.07,P
1993/03,6.74,P
1992/12,6.5,P
1992/09,7.92,P
1992/06,8.49,P
1992/03,10.52,P
1991/12,8.5,P
1991/09,9.18,P
1991/06,8.63,P
1991/03,7.03,P
1990/12,6.77,P
1990/09,4.3,P
1990/06,4.14,P
1990/03,7.5,P
1989/12,8.11,P
1989/09,8.47,P
1989/06,9.39,P
1989/03,9.1,P
1988/12,8.41,P
1988/09,8.07,P
1988/06,6.98,P
1988/03,8.65,P
1987/12,9.95,P
1987/09,13.64,P
1987/06,14.29,P
1987/03,13.16,P
